age,gender,popage1,popage2,events
15,m,330568,,
16,m,333138,,
17,m,332078,,
18,m,344358,,
19,m,345478,,
20,m,356578,,
21,m,372103,,
22,m,370333,,
23,m,365620,,
24,m,368761,,
25,m,358900,,
26,m,368232,,
27,m,371250,,
28,m,362041,,
29,m,365166,,
30,m,364969,,
31,m,369513,,
32,m,371333,,
33,m,357675,,
34,m,334526,,
35,m,329469,,
36,m,333413,,
37,m,339748,,
38,m,344597,,
39,m,359986,,
40,m,374600,,
41,m,384103,,
42,m,375340,,
43,m,383606,,
44,m,383719,,
45,m,109836,,
46,m,389120,,
47,m,391128,,
48,m,388046,,
49,m,380237,,
50,m,373065,,
51,m,360399,,
52,m,345742,,
53,m,338329,,
54,m,330898,,
55,m,318027,,
56,m,307435,,
57,m,295702,,
58,m,295775,,
59,m,292916,,
60,m,283724,,
61,m,285879,,
62,m,290774,,
63,m,299566,,
64,m,316237,,
65,m,344370,,
66,m,264934,,
67,m,256853,,
68,m,255971,,
69,m,236480,,
70,m,209834,,
71,m,187689,,
72,m,195186,,
73,m,192681,,
74,m,187160,,
75,m,176513,,
76,m,166147,,
77,m,156599,,
78,m,143245,,
79,m,134522,,
80,m,128944,,
81,m,119868,,
82,m,108657,,
83,m,96281,,
84,m,84509,,
85,m,75946,,
86,m,66308,,
87,m,56299,,
88,m,47481,,
89,m,39413,,
90+,m,121248,,
15,f,314849,,
16,f,313179,,
17,f,314689,,
18,f,326537,,
19,f,331432,,
20,f,348585,,
21,f,356701,,
22,f,354911,,
23,f,359492,,
24,f,368467,,
25,f,364775,,
26,f,366535,,
27,f,369222,,
28,f,363968,,
29,f,369488,,
30,f,370664,,
31,f,373407,,
32,f,374093,,
33,f,357857,,
34,f,333180,,
35,f,327799,,
36,f,335006,,
37,f,341583,,
38,f,348529,,
39,f,363223,,
40,f,378637,,
41,f,393384,,
42,f,383660,,
43,f,393205,,
44,f,392462,,
45,f,396840,,
46,f,399157,,
47,f,400976,,
48,f,396830,,
49,f,388407,,
50,f,397028,,
51,f,365691,,
52,f,351269,,
53,f,343355,,
54,f,335745,,
55,f,324018,,
56,f,312603,,
57,f,302330,,
58,f,304449,,
59,f,300414,,
60,f,293748,,
61,f,296230,,
62,f,304410,,
63,f,311786,,
64,f,330540,,
65,f,358949,,
66,f,278388,,
67,f,271365,,
68,f,270906,,
69,f,253841,,
70,f,228438,,
71,f,207374,,
72,f,216685,,
73,f,216277,,
74,f,211109,,
75,f,202392,,
76,f,194433,,
77,f,186486,,
78,f,174992,,
79,f,168761,,
80,f,166411,,
81,f,161376,,
82,f,152912,,
83,f,140127,,
84,f,128337,,
85,f,118440,,
86,f,109463,,
87,f,99061,,
88,f,89751,,
89,f,80263,,
90+,f,316833,,
